09-24-2024,20.27.42,350,424,OFF
09-24-2024,20.28.43,350,7,ON
09-24-2024,20.29.43,350,514,OFF
09-24-2024,20.30.44,350,425,OFF
09-24-2024,20.31.44,350,193,ON
09-24-2024,20.32.45,350,477,OFF
09-24-2024,20.33.45,350,411,OFF
09-24-2024,20.34.46,350,368,OFF
09-24-2024,20.35.46,350,360,OFF
09-24-2024,20.36.47,350,376,OFF
09-24-2024,20.37.47,350,361,OFF
09-24-2024,20.38.47,350,0,ON
09-24-2024,20.39.48,350,112,ON
09-24-2024,20.40.49,350,237,ON
09-24-2024,20.41.49,350,94,ON
09-24-2024,20.42.50,350,89,ON
09-24-2024,20.43.50,350,88,ON
09-24-2024,20.44.51,350,89,ON
09-24-2024,20.45.52,350,2,ON
09-24-2024,20.46.52,350,88,ON
09-24-2024,20.47.53,350,86,ON
09-24-2024,20.48.53,350,88,ON
09-24-2024,20.49.54,350,87,ON
09-24-2024,20.50.54,350,3,ON
09-24-2024,20.51.55,350,87,ON
09-24-2024,20.52.55,350,88,ON
09-24-2024,20.53.56,350,86,ON
09-24-2024,20.54.56,350,89,ON
09-24-2024,20.55.57,350,1,ON
09-24-2024,20.56.57,350,89,ON
09-24-2024,20.57.58,350,92,ON
09-24-2024,20.58.59,350,86,ON
09-24-2024,20.59.59,350,88,ON
09-24-2024,21.01.00,350,1,ON
09-24-2024,21.02.01,350,87,ON
09-24-2024,21.03.01,350,88,ON
09-24-2024,21.04.02,350,88,ON
09-24-2024,21.05.02,350,88,ON
09-24-2024,21.06.03,350,1,ON
09-24-2024,21.07.04,350,88,ON
09-24-2024,21.08.04,350,88,ON
09-24-2024,21.09.05,350,88,ON
09-24-2024,21.10.05,350,88,ON
09-24-2024,23.15.32,350,697,OFF
09-24-2024,23.16.32,350,317,ON
09-24-2024,23.17.33,350,484,OFF
09-24-2024,23.18.33,350,367,OFF
09-24-2024,23.19.34,350,372,OFF
09-24-2024,23.20.34,350,28,ON
09-24-2024,23.21.35,350,129,ON
09-25-2024,7.16.50,350,1024,OFF
09-25-2024,7.17.50,350,1024,OFF
09-25-2024,7.18.51,350,1024,OFF
09-25-2024,7.19.51,350,1024,OFF
09-25-2024,7.20.52,350,1024,OFF
09-25-2024,7.21.53,350,1024,OFF
09-25-2024,7.22.53,350,1024,OFF
09-25-2024,7.23.54,350,1024,OFF
09-25-2024,7.24.54,350,1024,OFF
09-25-2024,7.25.55,350,1024,OFF
09-25-2024,7.26.56,350,1024,OFF
09-25-2024,7.27.56,350,1024,OFF
09-25-2024,7.28.57,350,1024,OFF
09-25-2024,7.29.57,350,1024,OFF
09-25-2024,7.30.58,350,1024,OFF
09-25-2024,7.31.59,350,1024,OFF
09-25-2024,7.33.00,350,1024,OFF
09-25-2024,7.34.00,350,1024,OFF
09-25-2024,7.35.01,350,1024,OFF
09-25-2024,7.36.01,350,1024,OFF
09-25-2024,7.37.02,350,1024,OFF
09-25-2024,7.38.02,350,1024,OFF
09-25-2024,7.39.03,350,1024,OFF
09-25-2024,7.40.04,350,1024,OFF
09-25-2024,7.41.04,350,1024,OFF
09-25-2024,7.42.05,350,1024,OFF
09-25-2024,7.43.05,350,1024,OFF
09-25-2024,7.44.06,350,1024,OFF
09-25-2024,7.45.07,350,1024,OFF
09-25-2024,7.46.07,350,1024,OFF
09-25-2024,7.47.08,350,1024,OFF
09-25-2024,7.48.08,350,1024,OFF
09-25-2024,7.49.09,350,1024,OFF
09-25-2024,7.50.10,350,1024,OFF
09-25-2024,7.51.10,350,1024,OFF
09-25-2024,7.52.11,350,1024,OFF
09-25-2024,7.53.11,350,1024,OFF
09-25-2024,7.54.12,350,1024,OFF
09-25-2024,7.55.13,350,1024,OFF
09-25-2024,7.56.13,350,1024,OFF
09-25-2024,7.57.14,350,1024,OFF
09-25-2024,7.58.14,350,1024,OFF
09-25-2024,7.59.15,350,1024,OFF
09-25-2024,8.00.15,350,1024,OFF
09-25-2024,8.01.16,350,1024,OFF
09-25-2024,8.02.16,350,1024,OFF
09-25-2024,8.03.17,350,1024,OFF
09-25-2024,8.04.17,350,1024,OFF
09-25-2024,8.05.18,350,1024,OFF
09-25-2024,8.06.18,350,1024,OFF
09-25-2024,8.07.19,350,1024,OFF
09-25-2024,8.08.20,350,1024,OFF
09-25-2024,8.09.20,350,1024,OFF
09-25-2024,8.10.20,350,1024,OFF
09-25-2024,8.11.21,350,1024,OFF
09-25-2024,8.12.22,350,1024,OFF
09-25-2024,8.13.22,350,1024,OFF
09-25-2024,8.14.23,350,1024,OFF
09-25-2024,8.15.24,350,1024,OFF
09-25-2024,8.16.24,350,1024,OFF
09-25-2024,8.17.25,350,1024,OFF
09-25-2024,8.18.25,350,1024,OFF
09-25-2024,8.19.26,350,1024,OFF
09-25-2024,8.20.26,350,1024,OFF
09-25-2024,8.21.27,350,1024,OFF
